,instance_id,label_Act:::Thank you/Welcome,label_Act:::Commit/Agree,label_Act:::Request,label_Act:::Deliver/Informative,label_Act:::Amend,label_Act:::Remind,label_Act:::Refuse,label_Act:::Introduction,label_Act:::Propose,label_spam,label_Sender Expectation,cleaned_text,batch,split
0,1_0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Re: Cannot find bcopy() 
  <quotation> symbol is found in the header. The object apparently compiles fine. I'm 
not that familiar with uclibc but because it's so modular I bet it's 
built without bcopy support. (I can only speculate here, I have nothing 
to test). A quick browse through the source code shows me that bcopy 
will exist if __UCLIBC_SUSV3_LEGACY__ is defined.",1,test
1,1_1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Re: need help fixing broken tests in py3k-pep3137
	branch 
  <quotation> This behavior is correct -- it is how it always worked in 2.x. The
array module writes machine specific data in general (try floats or
doubles or ints). For machine-independent binary data, the struct
module can help.

  ",1,train
2,1_10,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"errors using mdbus commands 
 I'm having some problems with getting dbus GSM commands working from  
the command-line:

 <log_data> I'm running FSO 5:
 <raw_code> armv4tl unknown
 <tabular>  From reading the mailing list archives and the Wiki, it's not  
entirely clear to me if this is an invocation error on my part or an  
actual bug.
Do I have to allocate the GSM resource via org.freesmartphone.ousaged  
first ?
It seems like I should be able to do a GSM.Device.GetInfo from the  
command-line based on what I've read so far.
Have any of the object pathnames changed between FSO 3 and 5 ? The  
examples on the Wiki say they're for FSO 3.

Any thoughts/help/thwacks on the head would be appreciated.
 <closing>",1,train
3,1_11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Re: Adding test case to test run gives error 
 I tried with Firefox to see what when i click on ""Add Test Cases""
button there is no action taken place i remin in tha same page.",1,train
4,1_12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Re: HP 4P scanner use 
 Thanks to Brian McKee for advice to enable me to start XSane from my 
desktop instead of from root in a terminal. He advised to add my user 
name to the scanner group. I had to do this via root in a terminal.
However I have the annoying problem that an error message ""Failed to 
create file: Permission denied"" occurs when I try to close XSane. I have 
to close this error message 3 times before XSane closes.
I started XSane from a user terminal but the same error message occurred 
when closing and no message  occurred in the terminal.

When I typed users-admin in root this message occurred prior to the 
user-admin window opening:
 <log_data>  reply timeout expired, or the network connection was broken.
 <log_data> Could that have something to do with the XSane closing error?

 <closing>",1,val
5,1_13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"help for new feature level-dependent fold highlighting? 
 I'm trying to revise the source in screen.c to allow for showing
different fold highlighting depending on the level of a fold.
Currently there is one highlight group for all folded lines (""Fold"" or
the HLF_FL tag in screen.c).   Having highlighting that can vary
depending on the level gives better visual cues when using Vim for
highlighting.

I had a modification working that modified the source to add nine new
highlight flags for levels 2 through 10 (e.g., HLF_FL2, HLF_FL3,
HLF_FL4, HLF_FL5) and that works and was fairly straightforward.  See
screenshot  here:
http://www.plainspokenfinancial.com/screenshot.png

But a better solution would be to run a hl_combine_attr function on
HLF_FL and the current screen attributes.  That way a user can
specify, e.g., 'hi Fold gui=bold guifg=NONE' and the folds will have
color of the highlighted region or match below, but show up as bold to
give a visual cue for the fold.  This requires modification (I think)
of only one line in the code, and also makes it easier to add certain
functions I'm thinking of adding to the VimOutliner project.

I'm having trouble coming up with the correct combine attr's solution
and I'm wondering if someone can help.  I've made a revision in the
line below, and it does indeed work to reveal highlighting of a region
below, but it REVEALS THE HIGHLIGHT OF THE LINE ABOVE THE FOLD, not
the highlight of the line immediately under the fold.  I suspect this
is a with specify the offset in ScreenAttr[], but I can't figure out
what the corect offset should be.

Can someone offer some help?

Here's original line in screen.c:

  <log_data> text */
 <raw_code>  I've revised that line to be:
  <raw_code>  As I said, that revision works so that highlight of the line above the
fold is revealed on the fold line when the fold highlight is set to
NONE (i.e., 'hl Fold gui=bold guifg=NONE).

I hoping there's something simple I'm missing about specifying the
ScreenAttrs[] offset.    Any hints?

 <closing>   ",1,train
6,1_14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"RE: Header Checks 
 OK - 

	This did not work:
		/^From:. vfort@jobsoft\.com/	REJECT

	This did work:
		/vfort@jobsoft\.com/	REJECT

Whats the difference?

On another note, how do you configured postfix to send-back the email with a rejection message.  So as the sender knows it was rejected?

 <closing>    <quotation> Must be:
	/^From:.*vfort@jobsoft\.com/                   REJECT

   traegt nichts zum Glueck bei.

    ",1,train
7,1_15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Re: Oh why won't it work 
  <quotation> Did you not read my response to your question about this earlier?
You have the same exact code you posted a few days ago that will
not work.


 <closing>     ",1,train
8,1_16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[ofa-general] sun x4100 with IB 
 I have several Sun x4100 with Infiniband servers which appear to be
running at 400MB/sec instead of 800MB/sec.  It's a freshly reformatted
cluster converting from solaris to linux.  We also reset the bios
settings with ""load optimal defaults"". Does anyone know which bios
setting I changed to dump the BW?

 <closing>  <log_data>",1,train
9,1_17,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Re: FC6 ipw3945 on Dell D820 not working. What's the best way? 
  <quotation> My BIOS is A6 (from April), and it does not suspend.  I spent two whole 
nights trying different quirk options.  They never should have changed 
the power management software in the state it's in.

I hate that I have this brand new laptop and I have to run an older 
version of Fedora on it, but I've tried all I can try.  Hopefully Fedora 
8 will be better.

 <quotation> Your script was very helpful.  Thanks.  More on that later


  <quotation> I uninstalled the iwl stuff.  Nothing I read explicitly said so, but my 
instincts told me they were mutually exclusive.

 <quotation> I never had it enabled.  What does it do?

 <quotation> Got this problem fixed with Brian Millett's script.

 <quotation> My old laptop is running SUSE.  They have a tool called SCPM, System 
Configuration Profile Manager, that lets you store and retrieve 
different config files for different environments.  I was wondering how 
you would do this in Fedora.  While I'm sure your suggestion isn't the 
official way it's supposed to be done, that sounds like it would work, 
and work well and predictably.  I'll bring it into work Monday and try that.

 <quotation> I find system-config-network highly unpredictable.  It's the first 
Fedora program I learned to hate ;)

 <quotation> Likewise, the man pages for NetworkManager are about two paragraphs 
long.  I guess I'll have to just save all my config files and try it and 
  see what it does.

 <quotation> Yes.  Everything is working now.  But it took the hints posted on no 
less than three emails to get the whole picture.  In addiition to Paul's 
and Brian's suggestions, I found a third post from a related thread 
suggesting putting  ""alias eth1 ipw3945"" in /etc/modprobe.conf.  I never 
thought to check for that, because I couldn't imagine a scenario where 
the install didn't do that for me, but I guess I was wrongt.

Thank you both for your suggestions.  I would rather have gotten suspend 
working in F7 than revoert to FC6, but at least I have Fc6 working, and 
as soon as I migrate my configuration over from the old laptop, I might 
even have domestic tranquility again.

  ",1,train
